Symbol,Langname
SHOP,Shopify Inc.
BPAC11,nan
CON,"Concentra Group Holdings Parent, Inc."
REC,"Recursion Pharmaceuticals, Inc."
3088,ChinaAMC Global ETF Series - ChinaAMC Hang Seng Tech Index ETF
QFIN,"Qfin Holdings, Inc."
AC*,Gesher Acquisition Corp. II
BZ,Kanzhun Limited
KOFUBL,"Coca-Cola FEMSA, S.A.B. de C.V."
PE&OLES*,PEN/XDR
BEPC,Brookfield Renewable Corporation
NRP,Natural Resource Partners L.P.
ATHM,Autohome Inc.
1066,Shandong Weigao Group Medical Polymer Company Limited
PPH,VanEck Pharmaceutical ETF
2938,"Okamura Foods Co., Ltd."
ITSA2,nan
