Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","3,733,415,948.79","10.74","3,733,415,948.79","70,296,000.00","53.11","Taiwan","Taiwan Stock Exchange","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,430,296,986.57","4.11","1,430,296,986.57","18,247,640.00","78.38","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,282,136,228.78","3.69","1,282,136,228.78","13,449,978.00","95.33","Korea (South)","Korea Exchange (Stock Market)","KRW"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","920,937,516.13","2.65","920,937,516.13","49,002,048.00","18.79","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000660","SK HYNIX INC","Information Technology","Equity","790,870,239.69","2.27","790,870,239.69","1,550,010.00","510.24","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","336,737,667.98","0.97","336,737,667.98","32,334,347.00","10.41","India","National Stock Exchange Of India","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","280,166,333.95","0.81","280,166,333.95","17,122,753.00","16.36","India","National Stock Exchange Of India","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","267,112,967.12","0.77","267,112,967.12","274,331,000.00","0.97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","260,194,652.08","0.75","260,194,652.08","35,707,624.00","7.29","Taiwan","Taiwan Stock Exchange","TWD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","243,725,096.80","0.70","243,725,096.80","2,021,776.00","120.55","China","NASDAQ","USD"
"1810","XIAOMI CORP","Information Technology","Equity","237,779,222.33","0.68","237,779,222.33","49,008,800.00","4.85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","230,964,978.81","0.66","230,964,978.81","14,829,422.00","15.57","India","National Stock Exchange Of India","INR"
"2454","MEDIATEK INC","Information Technology","Equity","198,101,952.11","0.57","198,101,952.11","4,413,000.00","44.89","Taiwan","Taiwan Stock Exchange","TWD"
"3690","MEITUAN","Consumer Discretionary","Equity","179,143,790.20","0.52","179,143,790.20","14,177,094.00","12.64","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","177,829,893.15","0.51","177,829,893.15","5,542,073.00","32.09","Taiwan","Taiwan Stock Exchange","TWD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","172,508,121.77","0.50","172,508,121.77","19,210,258.00","8.98","China","Hong Kong Exchanges And Clearing Ltd","HKD"
