Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","7,080,001,943.04","5.30","7,080,001,943.04","38,299,264.00","184.86","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","6,066,647,700.32","4.54","6,066,647,700.32","23,389,936.00","259.37","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","5,334,198,042.96","3.99","5,334,198,042.96","11,129,607.00","479.28","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","3,742,397,541.54","2.80","3,742,397,541.54","15,128,133.00","247.38","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","3,012,398,759.70","2.25","3,012,398,759.70","9,168,210.00","328.57","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","2,535,181,430.74","1.90","2,535,181,430.74","7,702,441.00","329.14","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","2,439,210,771.27","1.83","2,439,210,771.27","7,070,791.00","344.97","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","2,230,463,083.18","1.67","2,230,463,083.18","3,415,403.00","653.06","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","1,982,375,366.76","1.48","1,982,375,366.76","4,454,676.00","445.01","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,426,685,758.32","1.07","1,426,685,758.32","4,333,928.00","329.19","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","1,347,802,791.36","1.01","1,347,802,791.36","1,267,256.00","1,063.56","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,084,427,011.50","0.81","1,084,427,011.50","2,172,765.00","499.10","United States","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","Financials","Equity","936,459,507.66","0.70","936,459,507.66","2,677,358.00","349.77","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","837,310,539.89","0.63","837,310,539.89","6,719,449.00","124.61","United States","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Consumer Staples","Equity","793,003,085.81","0.59","793,003,085.81","6,923,977.00","114.53","United States","NASDAQ","USD"
