Symbol,Security,GICS Sector,valid_yahoo_ticker,resolved_name,resolved_exchange,resolved_score,Währung,Region,Sektor,Branche,Vortagesschlusskurs,Dividendenrendite,Ausschüttungsquote,KGV,Forward PE,KBV,KUV,PEG-Ratio,EV/EBITDA,EBIT,Bruttomarge,Operative Marge,Nettomarge,Marktkapitalisierung,Free Cashflow,Free Cashflow Yield,Operativer Cashflow,Eigenkapitalrendite,Return on Assets,ROIC,Umsatzwachstum 3J (erwartet),Abfragedatum,Datenquelle
AAPL,APPLE INC,Information Technology,AAPL,Apple Inc.,NMS,2569100.0,USD,US,Technology,Consumer Electronics,254.43,0.41,0.1533,38.286797,30.362213,56.941998,9.163362,,26.752,,0.46678,0.29990998,,3744378650624.0,94873747456.0,0.02533764779376394,108564996096.0,1.49814,0.24545999,,0.096,2025-09-25,Yahoo Finance
NVDA,NVIDIA CORP,Information Technology,NVDA,NVIDIA Corporation,NMS,2407900.0,USD,US,Technology,Semiconductors,178.43,0.02,0.0114,50.56286,42.953884,43.02699,26.07881,,43.286,,0.69847,0.60842997,,4308688699392.0,52436750336.0,0.012170002057331123,77035003904.0,1.09417,0.53094,,0.556,2025-09-25,Yahoo Finance
MSFT,MICROSOFT CORP,Information Technology,MSFT,Microsoft Corporation,NMS,2170600.0,USD,US,Technology,Software - Infrastructure,509.23,0.71,0.2375,37.455948,34.123745,11.041252,13.460089,,24.338,,0.68824,0.44901,,3792029876224.0,61070376960.0,0.01610493032845306,136162000896.0,0.33280998,0.14203,,0.181,2025-09-25,Yahoo Finance
AMZN,AMAZON COM INC,Consumer Discretionary,AMZN,"Amazon.com, Inc.",NMS,2185700.0,USD,US,Consumer Cyclical,Internet Retail,220.71,,0.0,33.5686,35.806503,7.0329914,3.5050552,,18.044,,0.49607,0.11432,,2348520308736.0,31024001024.0,0.013210020330076459,121136996352.0,0.2477,0.07699,,0.133,2025-09-25,Yahoo Finance
META,META PLATFORMS INC CLASS A,Communication,META,"Meta Platforms, Inc.",NMS,2094300.0,USD,US,Communication Services,Internet Content & Information,755.4,0.28,0.0744,27.620188,30.065613,9.810917,10.68704,,20.295,,0.81966,0.43019,,1910885580800.0,31991250944.0,0.016741583727167345,102299000832.0,0.40647998,0.18465,,0.216,2025-09-25,Yahoo Finance
GOOGL,ALPHABET INC CLASS A,Communication,GOOGL,Alphabet Inc.,NMS,2034600.0,USD,US,Communication Services,Internet Content & Information,251.66,0.34,0.0864,26.319489,27.582588,8.242671,8.057797,,20.842,,0.58943003,0.32429,,2992657924096.0,49786499072.0,0.016636214473807306,133707997184.0,0.34829,0.16792,,0.138,2025-09-25,Yahoo Finance
AVGO,BROADCOM INC,Information Technology,AVGO,Broadcom Inc.,NMS,2073300.0,USD,US,Technology,Semiconductors,338.94,0.7,0.5897,87.00256,54.993515,5.729555,26.738739,,5.156,,0.77185,0.31765,,1602345631744.0,23096750080.0,0.014414337095837055,25437999104.0,0.27083,0.08895001,,0.164,2025-09-25,Yahoo Finance
GOOG,ALPHABET INC CLASS C,Communication,GOOG,Alphabet Inc.,NMS,2073100.0,USD,US,Communication Services,Internet Content & Information,252.34,0.34,0.0864,26.449306,27.690504,8.265684,8.057797,,20.901,,0.58943003,0.32429,,2992657924096.0,49786499072.0,0.016636214473807306,133707997184.0,0.34829,0.16792,,0.138,2025-09-25,Yahoo Finance
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,TAI,20033.0,TWD,US,Technology,Semiconductors,1340.0,1.49,0.3051,23.681377,22.86506,7.472276,10.064408,,14.108,,0.58582,0.49627998,,34231052926976.0,694674063360.0,0.020293680852935658,2134835593216.0,0.34203997,0.15962,,0.386,2025-09-25,Yahoo Finance
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,BRK-B,BERKSHIRE HATHAWAY INC,MEX,20004.0,USD,US,Financial Services,Insurance - Diversified,494.1,,0.0,17.035297,24.755478,0.0010706043,2.8957167,,-2.18,,0.22995001,0.22427,,1071852421120.0,28266250240.0,0.026371401214417216,27412000768.0,0.099139996,0.04681,,-0.012,2025-09-25,Yahoo Finance
TSLA,TESLA INC,Consumer Discretionary,TSLA,"Tesla, Inc.",NMS,2656300.0,USD,US,Consumer Cyclical,Auto Manufacturers,425.85,,0.0,263.5655,136.66359,18.464201,15.879461,,122.841,,0.1748,0.04103,,1472343572480.0,1398375040.0,0.0009497613642205751,15765000192.0,0.08177,0.0296,,-0.118,2025-09-25,Yahoo Finance
JPM,JPMORGAN CHASE & CO,Financials,JPM,JP Morgan Chase & Co.,NYQ,2029200.0,USD,US,Financial Services,Banks - Diversified,312.74,1.91,0.2718,16.081068,18.72282,2.55828,5.2631354,,,,0.0,0.43749002,,861827891200.0,,,-148615004160.0,0.16211,0.012999999,,-0.106,2025-09-25,Yahoo Finance
LLY,ELI LILLY,Health Care,LLY,Eli Lilly and Company,NYQ,2024100.0,USD,US,Healthcare,Drug Manufacturers - General,746.98,0.81,0.366,48.550392,32.738304,36.409813,12.487048,,28.355,,0.82638,0.45805,,665036455936.0,-2265437440.0,-0.0034064860952795874,10938200064.0,0.86291003,0.16553,,0.376,2025-09-25,Yahoo Finance
V,VISA INC CLASS A,Financials,V,Visa Inc.,NYQ,2022200.0,USD,US,Financial Services,Credit Services,338.7,0.7,0.2236,33.10655,26.751974,17.294592,16.90171,,24.209,,0.97780997,0.66772,,657358192640.0,18054000640.0,0.02746447955184642,23484999680.0,0.51755,0.17049,,0.143,2025-09-25,Yahoo Finance
XOM,EXXON MOBIL CORP,Energy,XOM,Exxon Mobil Corporation,NYQ,2080800.0,USD,US,Energy,Oil & Gas Integrated,113.95,3.46,0.5568,16.249645,14.556543,1.8598912,1.4808183,,8.342,,0.3102,0.11729,,488397570048.0,20748249088.0,0.04248229385326559,54300999680.0,0.118310004,0.05277,,-0.123,2025-09-25,Yahoo Finance
UNH,UNITEDHEALTH GROUP INC,Health Care,UNH,UnitedHealth Group Incorporated,NYQ,2013200.0,USD,US,Healthcare,Healthcare Plans,347.69,2.51,0.3684,15.223279,11.766221,3.3612313,0.7535749,,11.194,,0.20842,0.04614,,318625021952.0,27210000384.0,0.08539819069231516,28957999104.0,0.21653,0.06464,,0.129,2025-09-25,Yahoo Finance
700,TENCENT HOLDINGS LTD,Communication,0700.HK,Nasdaq US 700 Small Cap Growth,NIM,20005.0,HKD,US,Communication Services,Internet Content & Information,648.5,0.69,0.186,26.804123,23.96755,5.2923408,8.371072,,24.438,,0.5468,0.32576,,5894615597056.0,120251252736.0,0.0204001856874362,283327987712.0,0.19829,0.07577,,0.145,2025-09-25,Yahoo Finance
MA,MASTERCARD INC CLASS A,Financials,MA,Silver May 25,CMX,3032000.0,USD,US,Financial Services,Credit Services,569.97,0.53,0.1915,38.303703,34.725887,65.621826,17.003769,,27.904,,1.0,0.59916,,514210988032.0,15459624960.0,0.030064750306420772,16952999936.0,1.7694701,0.23677999,,0.168,2025-09-25,Yahoo Finance
NFLX,NETFLIX INC,Communication,NFLX,"Netflix, Inc.",NMS,2030000.0,USD,US,Communication Services,Entertainment,1218.47,,0.0,51.27555,50.628677,20.502886,12.270352,,41.2,,0.48491,0.3407,,511590039552.0,22694656000.0,0.04436102004619507,9070451712.0,0.43548,0.15049,,0.159,2025-09-25,Yahoo Finance
